	ItemId	Icon	Name	MeshName
中文备注	ItemId(1057 – 1106)	图标	多语言名称	多语言名称
	1057			g1041_coin_08.mesh
	1058			g1041_coin_08.mesh
	1059			g1041_coin_08.mesh
	1060			g1041_coin_08.mesh
	1061			g1041_coin_08.mesh
	1062			g1041_coin_08.mesh
	1063			g1041_coin_08.mesh
	1064			g1041_coin_08.mesh
	1065			g1041_coin_08.mesh
	1066			g1041_coin_08.mesh
	1067			g1041_coin_07.mesh
	1068			g1041_coin_03.mesh
	1069			g1041_coin_01.mesh
	1070			g1041_coin_02.mesh
	1071			g1041_coin_04.mesh
	1077			g1041_coin_05.mesh
	1083			g1041_coin_06.mesh
	1085			g1041_coin_09.mesh
	1086			g1041_coin_10.mesh
	1087			g1041_coin_11.mesh
	1088			g1041_coin_12.mesh
	1089			g1041_coin_13.mesh
	1090			g1041_coin_14.mesh
	1091			g1041_coin_15.mesh
	1092			g1041_coin_16.mesh
